stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Paderborn Hbf,220892,311987,51.71295,8.740311,
Padova,,306745,45.417824,11.88062,1
Padova,306745,161112,45.417824,11.88062,
Papenburg(Ems),619761,99863,53.089706,7.386708,
"Papenburg, Bahnhof",,619761,53.090424,7.388122,1
Pardubice hl.n.,,13757,50.03174,15.756211,1
Pardubice hl.n.,13757,247907,50.03174,15.756211,
Paris Est,,388918,48.876976,2.35912,1
Paris Est,388918,437273,48.876976,2.35912,
Pasewalk,460585,419604,53.51519,13.988988,
Pasewalk,460585,457155,53.515354,13.988875,
Pasewalk Bahnhof,,460585,53.515038,13.989293,1
Pasing,,480195,48.1489,11.460428,1
Pasing,480195,251847,48.14933,11.458901,
Pasing,480195,595494,48.149197,11.459296,
Passau Hbf,,340308,48.57363,13.45078,1
Passau Hbf,340308,494779,48.57363,13.450776,
Peine,645215,231959,52.318916,10.231892,
Peine,645215,513665,52.31896,10.232197,
"Peine, Bahnhof",,645215,52.318928,10.232422,1
Pforzheim Hauptbahnhof,,471632,48.89365,8.703453,1
Pforzheim Hbf,471632,256202,48.89414,8.702699,
Pforzheim Hbf,471632,348514,48.894154,8.703099,
Pforzheim Hbf,471632,384205,48.89421,8.702699,
Pivka,,108148,45.675255,14.191376,1
Pivka,108148,134243,45.675255,14.191376,
Plattling,,220500,48.77962,12.863938,1
Plattling,220500,386287,48.779617,12.86394,
"Plett., Bahnhof",,511179,51.232162,7.869206,1
Plettenberg,511179,302960,51.23205,7.867805,
Plettenberg,511179,644358,51.231792,7.86952,
Plochingen,,635221,48.71294,9.411299,1
Plochingen,635221,360518,48.71284,9.411074,
Plochingen,635221,577187,48.71292,9.411254,
Plochingen,635221,617091,48.71296,9.411353,
Postojna,,373628,45.7731,14.221469,1
Postojna,373628,188865,45.7731,14.221469,
Potsdam Hbf,66510,16593,52.391582,13.06674,
Potsdam Hbf,66510,287814,52.391422,13.066721,
Potsdam Hbf,66510,639673,52.391666,13.066749,
Poznan Gl.,,523200,52.401993,16.91087,1
Poznan Gl.,523200,129452,52.401993,16.91087,
Praha hl.n.,,528015,50.08306,14.436039,1
Praha hl.n.,528015,137462,50.08306,14.436039,
Praha-Holesovice,,439877,50.110214,14.440013,1
Praha-Holesovice,439877,380139,50.110214,14.440013,
Prenzlau,218608,240989,53.32162,13.86654,
Prenzlau,218608,343382,53.321636,13.866409,
"Prenzlau, Bahnhof",,218608,53.321613,13.866558,1
Prien am Chiemsee,,116919,47.855515,12.346616,1
Prien am Chiemsee,116919,513219,47.855515,12.346615,
