route_id,service_id,trip_id
110,414,758758
110,455,169448
110,464,1537536
110,464,869936
110,479,231703
110,53,1501579
110,53,619483
110,579,1182249
110,579,1621575
110,99,1080875
111,109,902102
111,177,1155706
111,201,538864
111,201,997972
111,204,1272703
111,243,1612464
111,295,318958
111,317,54645
111,320,1408986
111,33,1591518
111,37,606932
111,37,684906
111,39,1717269
111,407,1198017
111,407,844867
111,414,100664
111,414,300907
111,416,1017728
111,475,1855989
111,489,138585
111,53,1501421
111,53,497931
111,550,140884
111,550,299590
111,564,893392
111,574,1688092
111,579,1685835
111,579,524785
111,579,957667
111,607,1366471
111,74,472101
111,8,766500
112,125,1075594
112,133,1331798
112,151,184986
112,178,1246327
112,216,5994
112,262,1576353
112,28,172617
112,285,130331
112,319,363424
112,319,560688
112,320,212104
112,320,459584
112,33,1453985
112,33,1468319
112,33,1654768
112,33,1741012
112,33,455962
112,33,490266
112,33,599581
112,33,612107
112,33,668218
112,33,992844
112,335,682152
112,343,1873623
112,348,172431
112,354,248535
112,354,978563
112,360,412439
112,360,727207
112,387,1064100
112,387,1472156
112,387,228354
112,387,388436
112,387,530871
112,406,1358926
112,406,1763852
112,410,1846026
112,414,215159
112,434,726721
112,436,1420555
112,449,885419
112,451,1094885
112,451,332723
112,464,1032212
112,464,1162390
112,464,1201161
112,464,1208508
112,464,1222818
112,464,1416710
112,464,1492700
112,464,1652563
112,464,1856789
112,464,1862766
112,464,1867731
112,464,204460
112,464,4128
112,464,448975
112,464,525958
112,464,713662
112,464,807331
112,464,931166
112,464,938819
112,465,1393116
112,501,698474
112,514,1013825
112,514,1343024
112,514,1531143
112,514,1570179
112,514,234049
112,514,349876
112,514,474132
112,514,802564
112,53,1707607
112,53,1803572
112,53,986216
112,535,131615
112,535,842725
112,545,783590
112,55,633634
112,552,1149426
112,552,157098
112,552,1613173
112,579,1274500
112,579,1291867
112,579,1441550
112,579,154761
112,579,1621487
112,579,1625782
112,579,1859378
112,579,397300
112,579,506840
112,579,721365
112,579,755074
112,579,793737
112,579,820332
112,579,871582
112,583,1207561
112,589,1771721
112,589,640191
112,589,931594
112,603,1595184
112,61,1235668
112,61,1453951
112,61,817020
112,611,1557633
112,611,1738784
112,7,835250
112,75,1397339
112,80,1525963
112,99,1066141
112,99,341132
112,99,898920
113,104,1434692
113,118,139568
113,118,1608599
113,118,521174
113,118,923365
113,118,983240
113,308,856788
113,317,1061363
113,317,1636438
113,317,44684
113,317,761829
113,317,908099
113,387,1324540
113,450,1084991
113,53,401836
113,550,104772
113,550,1741995
113,550,308107
113,550,5143
113,550,69990
113,574,452335
113,579,732096
113,588,139252
114,455,618430
115,103,1362012
115,106,616301
115,106,951686
115,109,1418662
115,133,1022363
115,133,1489893
115,133,364983
115,133,489941
115,162,740669
115,236,1158475
115,263,1681848
115,267,1638207
115,317,162653
115,327,812220
115,33,473152
115,33,57088
115,354,1346118
115,354,1544517
115,354,1591694
115,354,162439
115,354,1642373
115,354,366734
115,354,627035
115,354,925566
115,381,825926
115,387,1021284
115,387,103873
115,387,1201954
115,387,1212753
115,387,1237380
115,387,157485
115,387,1621885
115,387,1643594
115,387,1688908
115,387,1722367
115,387,694624
115,388,1011074
115,394,1058002
115,414,1839738
115,417,1831481
115,443,1104619
115,443,1170648
115,443,510368
115,443,536888
115,443,715303
115,449,1068547
115,449,291109
115,449,291270
115,449,350048
115,455,138158
115,455,289756
115,464,141731
115,464,1698616
115,464,406591
115,464,453450
115,464,524290
115,464,604177
115,464,769784
115,490,1102273
115,511,1598839
115,511,1611529
115,511,166509
115,511,398125
115,516,1677739
115,516,964481
115,53,1265019
115,53,218643
115,550,1731128
115,551,1873586
115,579,351259
115,579,814446
115,591,1479478
115,60,227292
115,607,786567
115,607,88413
115,608,1591521
115,61,1365442
115,61,418474
115,61,562561
115,611,1709891
116,33,1884571
116,358,1586534
116,579,115275
116,607,350647
117,33,358312
117,387,656801
117,455,612172
117,53,892106
117,579,858224
117,579,899293
118,101,752187
118,127,824353
118,162,1197273
118,162,1287059
118,162,645650
118,170,339305
118,225,1831918
118,23,1408874
118,23,526592
118,307,335227
118,317,1292685
118,317,1557928
118,321,1378745
118,328,1110723
118,33,1212593
118,33,1253885
118,33,133120
118,33,1775041
118,33,1845468
118,33,314381
118,33,322373
118,33,648940
118,33,662763
118,343,1422063
118,343,1513554
118,357,56692
118,387,1295161
118,387,1623461
118,387,249975
118,387,845375
118,391,1408525
118,455,1183831
118,455,1313640
118,464,943662
118,479,329164
118,53,11605
118,53,1429577
118,53,1674240
118,53,355982
118,53,418763
118,550,353442
118,574,570477
118,579,10601
118,579,1087649
118,579,1357966
118,579,1396011
118,579,1560737
118,579,1651975
118,579,1846376
