stop_name,stop_id,stop_lat,stop_lon
Hochfilzen,418612,47.467712,12.626525
Hohenems,202896,47.364708,9.681001
Homburg,448705,49.328083,7.337035
Hopfgarten im Brixental,164493,47.455353,12.14918
Horb /ZOB,50157,48.441853,8.688892
Hornberg,245337,48.212,8.232997
Horsens st,181453,55.86279,9.8355
Hude,497628,53.10937,8.460953
Husum,170833,54.472034,9.056426
Hünfeld,111057,50.673237,9.762918
Ibbenbüren,430345,52.27675,7.721065
Ilirska Bistrica,197526,45.569275,14.236037
Immendingen,219231,47.93643,8.728768
Immenstadt,92713,47.559204,10.213997
Imst-Pitztal,477440,47.219074,10.76167
Ingolstadt,577263,48.74455,11.437341
Innsbruck,664361,47.26333,11.40051
Inowroclaw,348690,52.804947,18.24406
Interlaken Ost,645479,46.6905,7.869
Interlaken West,521034,46.68295,7.851366
Iselle transito,45069,46.27205,8.097801
Iserl.,63560,51.36308,7.618666
Itzehoe,278096,53.92408,9.510151
Jaroslaw,383909,50.01067,22.677896
Jena Paradies,40751,50.924854,11.587468
Jena West,425972,50.923286,11.57785
Jena-Göschwitz,27935,50.8838,11.593217
Jenbach,266903,47.388447,11.778454
Jesenice,270143,46.48141,14.020333
Jesenice,401182,46.436325,14.054913
Kaiserslautern,291500,49.436275,7.768262
Kapfenberg,30840,47.44512,15.292088
Karlsruhe,646407,48.993347,8.401036
Karlsruhe-Durlach,85430,49.00225,8.462759
Kassel  Wilhelmshöhe,114597,51.31313,9.44705
Katowice,250899,50.257515,19.017164
Kaufbeuren,390422,47.87543,10.629495
Kehl,412250,48.575645,7.801118
Keitum,400162,54.888996,8.368841
Kempten,698,47.711746,10.31761
Kiel,459567,54.314205,10.131429
Kirchberg in Tirol,574610,47.448917,12.309101
Kitzbühel,662464,47.45411,12.391045
Kitzbühel Hahnenkamm,389134,47.44339,12.389856
Klagenfurt,331692,46.615585,14.313569
Klanxbüll,656577,54.86234,8.675999
Koblenz,240884,50.350925,7.588339
Koebenhavn H,351291,55.67272,12.564617
Kolding st,375214,55.49084,9.481528
Kolin,332995,50.025436,15.214279
Konin,221883,52.231396,18.253336
Konstanz,398932,47.658794,9.17727
Krakow Glowny,214924,50.067196,19.947426
Krakow Plaszow,10188,50.03509,19.974894
Kranj,272545,46.23901,14.348167
Krefeld,178070,51.325623,6.568194
Kreiensen,521669,51.85196,9.966566
Kreuztal Bf,216141,50.95591,7.992113
Kronach,253114,50.23961,11.320111
Krsko,355650,45.95624,15.493454
Krumpendorf/Wörthersee,262479,46.62633,14.221512
Kufstein,275749,47.58308,12.16555
Kutno,532363,52.226963,19.348616
Kuty,293801,48.661892,17.047695
Kuty,95509,48.71108,17.000406
Köln Messe,227564,50.940876,6.974996
Köln Ehrenfeld,360913,50.951527,6.91727
Köln Flughafen,550705,50.878902,7.119292
Köln,408052,50.94303,6.958727
Köln Süd,176890,50.9273,6.938048
Köthen,184179,51.751934,11.989356
Lahr,460550,48.340572,7.835708
Lancut,384029,50.08143,22.227507
Landeck-Zams,176364,47.148243,10.578392
Landquart,172373,46.96744,9.554045
Landstuhl,110756,49.416332,7.566159
Langen am Arlberg,73526,47.13172,10.120375
Langenhagen  Mitte,371484,52.44028,9.726024
Leer,592913,53.23141,7.465229
Legnica,634022,51.21385,16.168922
Leipzig,56192,51.345474,12.382064
Leipzig/Halle Flughafen,174955,51.42334,12.22343
Lennestadt-Altenhundem Bf,423215,51.104046,8.071534
Lennestadt-Grevenbrück Bf,607176,51.141815,8.017662
Leoben,560842,47.386604,15.089603
Lesce-Bled,519216,46.360416,14.157971
Leverkusen Wiesdorf Mitte Bf,335306,51.03151,6.991651
Lichtenfels,183013,50.146454,11.059474
Liestal,271033,47.484375,7.731353
Liezen,448975,47.56271,14.241886
Limburg  Süd,217931,50.38191,8.095532
